,a,b,cat
0,0.5820263052142547,0.6354893875927874,l
1,0.7352582727940628,0.967212743744754,g
2,0.5283202691568596,0.39019865941208776,a
3,0.22953742862621196,0.8134781220423781,b
4,0.46430787383341254,0.82752692576585,d
5,0.6165641966659361,0.7193612846301203,q
6,0.19333502463852725,0.12064938075854881,t
7,0.9615610580818718,0.3271495378152447,s
8,0.7438060651799487,0.3488067059675315,d
9,0.263809766554006,0.7668755940792765,h
10,0.9177217422000817,0.8260771481332919,l
11,0.11411000210618993,0.3577197650560011,c
12,0.578525404708132,0.2566860241115798,x
13,0.33270734974699645,0.6173136092202067,e
14,0.23422595759926257,0.6075436738299868,l
15,0.45226523533966856,0.3264827109440962,k
16,0.9027698058311768,0.48787919939921187,x
17,0.10209905253101081,0.0825422567831966,q
18,0.9501924266168038,0.5173591570528171,h
19,0.6825778488001468,0.8666731006027578,m
